experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,capacity_success_rate_valid,capacity_ratio_valid,labels_valid,message
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v10,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v11,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v12,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v13,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v14,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v15,3400,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,bnn_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,primal_dual_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,pid_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v00,3401,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,centralized_capacity_milp,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,capacity_oracle_reference,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,greedy_capacity_nearest,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,cbba_capacity,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,replicator_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,replicator_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,replicator_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,smith_capacity_plain,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,smith_capacity_marginal,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,smith_capacity_marginal_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,logit_capacity_repair,True,True,True,True,
SP2_DIAG_wrench_market_vector_potential_repair,balanced_capacity,balanced_capacity_v01,3401,bnn_capacity_repair,True,True,True,True,
